ID,Age,Income,Education,Marital_Status,Total_Spend,Total_Purchases,Total_Campaigns_Accepted,Recency,Cluster,Segment_Name
5524,67,58138.0,Graduation,Single,1617,25,1,58,0,Budget Conscious
2174,70,46344.0,Graduation,Single,27,6,0,38,2,Moderate Mainstream
4141,59,71613.0,Graduation,Together,776,21,0,26,1,Affluent Loyalists
6182,40,26646.0,Graduation,Together,53,8,0,26,3,Deal Seekers
5324,43,58293.0,PhD,Married,422,19,0,94,1,Affluent Loyalists
7446,57,62513.0,Master,Together,716,22,0,16,1,Affluent Loyalists
965,53,55635.0,Graduation,Divorced,590,21,0,34,1,Affluent Loyalists
6177,39,33454.0,PhD,Married,169,10,0,32,3,Deal Seekers
4855,50,30351.0,PhD,Together,46,6,1,19,3,Deal Seekers
5899,74,5648.0,PhD,Together,49,2,1,68,3,Deal Seekers
387,48,7500.0,Basic,Married,61,6,0,59,3,Deal Seekers
2125,65,63033.0,Graduation,Divorced,1102,16,0,82,0,Budget Conscious
8180,72,59354.0,Master,Divorced,310,15,0,53,2,Moderate Mainstream
2569,37,17323.0,Graduation,Married,46,5,0,38,3,Deal Seekers
2114,78,82800.0,PhD,Single,1315,26,3,23,0,Budget Conscious
9736,44,41850.0,Graduation,Married,96,9,0,51,3,Deal Seekers
4939,78,37760.0,Graduation,Together,317,13,0,20,2,Moderate Mainstream
6565,75,76995.0,Master,Married,1782,26,1,91,0,Budget Conscious
2278,39,33812.0,2n Cycle,Single,133,8,0,86,3,Deal Seekers
9360,42,37040.0,Graduation,Married,316,12,0,41,3,Deal Seekers
5376,45,2447.0,Graduation,Married,1730,43,0,42,1,Affluent Loyalists
1993,75,58607.0,PhD,Married,972,17,1,63,1,Affluent Loyalists
4047,70,65324.0,PhD,Married,544,20,0,0,1,Affluent Loyalists
1409,73,40689.0,Graduation,Together,444,20,0,69,1,Affluent Loyalists
7892,55,18589.0,Graduation,Single,75,8,0,89,3,Deal Seekers
2404,48,53359.0,Graduation,Married,257,14,0,4,2,Moderate Mainstream
9422,35,38360.0,Graduation,Married,131,9,0,26,3,Deal Seekers
1966,59,84618.0,PhD,Married,1672,26,1,96,0,Budget Conscious
6864,35,10979.0,Master,Divorced,30,8,0,34,3,Deal Seekers
3033,61,38620.0,Master,Together,318,11,0,56,2,Moderate Mainstream
5710,54,40548.0,Graduation,Together,120,9,1,31,3,Deal Seekers
7373,72,46610.0,PhD,Divorced,302,17,1,8,1,Affluent Loyalists
8755,78,68657.0,Master,Married,1196,18,0,4,0,Budget Conscious
10738,73,49389.0,Master,Single,65,6,0,55,2,Moderate Mainstream
4339,54,67353.0,PhD,Married,913,28,0,37,1,Affluent Loyalists
10755,48,23718.0,2n Cycle,Married,81,9,0,76,3,Deal Seekers
8595,51,42429.0,Graduation,Widow,67,7,0,99,2,Moderate Mainstream
2968,81,48948.0,PhD,Divorced,902,24,2,53,1,Affluent Loyalists
